Full-Stack,Front-End,Back-End,Other-Development,Other-Tech,Creative-Design,Business-Marketing,Other-Occupation,portfolio,certifs,video,testims,jobs,hour_rate_clean,success_rate,rate_cat,hours_per_week,hours,earnings,num-occups,country,embedding_pca
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.58,0.0,2.0,67.71428571428571,474.0,1.0,0.0,2.2988293308361434
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,32.0,40.0,1.0,3.0,1.0,1681.0,51000.0,1.0,0.0,-1.239810440070666
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,15.0,1.0,2.0,0.0,6.0,2900.0,2.0,0.0,1.5647408100107238
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,58.0,50.0,1.0,3.0,0.0,2659.0,82000.0,2.0,0.0,-2.802178441711225
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.88,0.0,0.0,1.0,273.0,1.0,0.0,-0.8466011496706014
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,46.0,50.0,1.0,2.0,2.0,46.0,2300.0,1.0,0.0,-2.221056128071935
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,45.0,1.0,0.0,0.0,262.0,14000.0,1.0,0.0,-1.4111190393510515
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,193.0,60.0,0.98,2.0,2.0,152.0,47000.0,2.0,0.0,1.1284507449156382
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,20.0,1.0,0.0,2.0,231.0,4200.0,1.0,0.0,-1.255035659653133
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,14.0,20.0,1.0,2.0,1.0,103.0,3300.0,1.0,0.0,0.5880839772376205
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,13.0,40.0,1.0,3.0,2.0,2251.0,84000.0,1.0,0.0,-1.4917180284922689
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,34.0,35.0,0.89,0.0,2.0,579.0,25000.0,1.0,0.0,1.3509591584353582
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,25.0,0.9,2.0,1.0,329.0,9900.0,2.0,0.0,-1.9488596375378755
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,40.0,1.0,2.0,1.0,1581.0,54000.0,1.0,0.0,3.2316343341288296
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,15.0,0.9423333333333336,1.0,2.0,226.66666666666663,3400.0,1.0,0.0,2.120288167266959
